Period,Company,Model,Market Share,Marketing End User,Marketing Retailer,Model Name,Durability,Design,Connectivity,Maintenance,Accessories,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Rate of Coverage
11,Profit,5,,1200.0,1000.0,,,,,,,,,,,,,,
11,Primus,5,,1000.0,1500.0,,,,,,,,,,,,,,
11,Best,5,,900.0,1000.0,,,,,,,,,,,,,,
11,Mikro,5,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,5,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,5,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,5,,400.0,800.0,,,,,,,,,,,,,,
8,Best,5,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,5,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,5,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,5,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,5,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,5,,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,5,,300.0,200.0,,,,,,,,,,,,,,
12,Digi,6,,1200.0,1800.0,,,,,,,,,,,,,,
12,Profit,6,,1200.0,900.0,,,,,,,,,,,,,,
12,Primus,6,,1000.0,1500.0,,,,,,,,,,,,,,
12,Best,6,,1800.0,1400.0,,,,,,,,,,,,,,
12,Mikro,6,,1250.0,1400.0,,,,,,,,,,,,,,
10,Digi,6,,1000.0,1000.0,,,,,,,,,,,,,,
10,Profit,6,,550.0,1550.0,,,,,,,,,,,,,,
10,Primus,6,,1000.0,700.0,,,,,,,,,,,,,,
10,Best,6,,1000.0,600.0,,,,,,,,,,,,,,
10,Mikro,6,,400.0,300.0,,,,,,,,,,,,,,
11,Digi,6,,1200.0,1800.0,,,,,,,,,,,,,,
11,Profit,6,,1200.0,1000.0,,,,,,,,,,,,,,
11,Primus,6,,1000.0,1500.0,,,,,,,,,,,,,,
11,Best,6,,900.0,1000.0,,,,,,,,,,,,,,
11,Mikro,6,,500.0,500.0,,,,,,,,,,,,,,
8,Digi,6,,500.0,500.0,,,,,,,,,,,,,,
8,Profit,6,,150.0,600.0,,,,,,,,,,,,,,
8,Primus,6,,400.0,800.0,,,,,,,,,,,,,,
8,Best,6,,1200.0,800.0,,,,,,,,,,,,,,
8,Mikro,6,,300.0,200.0,,,,,,,,,,,,,,
9,Digi,6,,300.0,400.0,,,,,,,,,,,,,,
9,Profit,6,,400.0,1600.0,,,,,,,,,,,,,,
9,Primus,6,,1000.0,800.0,,,,,,,,,,,,,,
9,Best,6,,1000.0,600.0,,,,,,,,,,,,,,
9,Mikro,6,,300.0,200.0,,,,,,,,,,,,,,
